Root Email,Root Name,MSP Org Name,Root Password,Root New Password,Child Tenant 1 Name,Child Tenant 2 Name
gamedaytest+team075@getmontycloud.com,GameDay MSP 075,NimbusMSP,GamedayTest@075,GamedayTest@075,Unicorn.Rentals,Blume Corporation
gamedaytest+team076@getmontycloud.com,GameDay MSP 076,NimbusMSP,GamedayTest@076,GamedayTest@076,Unicorn.Rentals,Blume Corporation
gamedaytest+team077@getmontycloud.com,GameDay MSP 077,NimbusMSP,GamedayTest@077,GamedayTest@077,Unicorn.Rentals,Blume Corporation
gamedaytest+team078@getmontycloud.com,GameDay MSP 078,NimbusMSP,GamedayTest@078,GamedayTest@078,Unicorn.Rentals,Blume Corporation
gamedaytest+team079@getmontycloud.com,GameDay MSP 079,NimbusMSP,GamedayTest@079,GamedayTest@079,Unicorn.Rentals,Blume Corporation
gamedaytest+team080@getmontycloud.com,GameDay MSP 080,NimbusMSP,GamedayTest@080,GamedayTest@080,Unicorn.Rentals,Blume Corporation
gamedaytest+team081@getmontycloud.com,GameDay MSP 081,NimbusMSP,GamedayTest@081,GamedayTest@081,Unicorn.Rentals,Blume Corporation
gamedaytest+team082@getmontycloud.com,GameDay MSP 082,NimbusMSP,GamedayTest@082,GamedayTest@082,Unicorn.Rentals,Blume Corporation
gamedaytest+team083@getmontycloud.com,GameDay MSP 083,NimbusMSP,GamedayTest@083,GamedayTest@083,Unicorn.Rentals,Blume Corporation
gamedaytest+team084@getmontycloud.com,GameDay MSP 084,NimbusMSP,GamedayTest@084,GamedayTest@084,Unicorn.Rentals,Blume Corporation
gamedaytest+team085@getmontycloud.com,GameDay MSP 085,NimbusMSP,GamedayTest@085,GamedayTest@085,Unicorn.Rentals,Blume Corporation
gamedaytest+team086@getmontycloud.com,GameDay MSP 086,NimbusMSP,GamedayTest@086,GamedayTest@086,Unicorn.Rentals,Blume Corporation
gamedaytest+team087@getmontycloud.com,GameDay MSP 087,NimbusMSP,GamedayTest@087,GamedayTest@087,Unicorn.Rentals,Blume Corporation
gamedaytest+team088@getmontycloud.com,GameDay MSP 088,NimbusMSP,GamedayTest@088,GamedayTest@088,Unicorn.Rentals,Blume Corporation
gamedaytest+team089@getmontycloud.com,GameDay MSP 089,NimbusMSP,GamedayTest@089,GamedayTest@089,Unicorn.Rentals,Blume Corporation
gamedaytest+team090@getmontycloud.com,GameDay MSP 090,NimbusMSP,GamedayTest@090,GamedayTest@090,Unicorn.Rentals,Blume Corporation
gamedaytest+team091@getmontycloud.com,GameDay MSP 091,NimbusMSP,GamedayTest@091,GamedayTest@091,Unicorn.Rentals,Blume Corporation
gamedaytest+team092@getmontycloud.com,GameDay MSP 092,NimbusMSP,GamedayTest@092,GamedayTest@092,Unicorn.Rentals,Blume Corporation
gamedaytest+team093@getmontycloud.com,GameDay MSP 093,NimbusMSP,GamedayTest@093,GamedayTest@093,Unicorn.Rentals,Blume Corporation
gamedaytest+team094@getmontycloud.com,GameDay MSP 094,NimbusMSP,GamedayTest@094,GamedayTest@094,Unicorn.Rentals,Blume Corporation
gamedaytest+team095@getmontycloud.com,GameDay MSP 095,NimbusMSP,GamedayTest@095,GamedayTest@095,Unicorn.Rentals,Blume Corporation
gamedaytest+team096@getmontycloud.com,GameDay MSP 096,NimbusMSP,GamedayTest@096,GamedayTest@096,Unicorn.Rentals,Blume Corporation
gamedaytest+team097@getmontycloud.com,GameDay MSP 097,NimbusMSP,GamedayTest@097,GamedayTest@097,Unicorn.Rentals,Blume Corporation
gamedaytest+team098@getmontycloud.com,GameDay MSP 098,NimbusMSP,GamedayTest@098,GamedayTest@098,Unicorn.Rentals,Blume Corporation
gamedaytest+team099@getmontycloud.com,GameDay MSP 099,NimbusMSP,GamedayTest@099,GamedayTest@099,Unicorn.Rentals,Blume Corporation
gamedaytest+team100@getmontycloud.com,GameDay MSP 100,NimbusMSP,GamedayTest@100,GamedayTest@100,Unicorn.Rentals,Blume Corporation
